alpha,fold,weight_catboost,weight_poisson,matches,accuracy,logloss,draw_precision,draw_recall,draw_f1,predicted_draws,actual_draws
0.3,Fold 2,0.05,0.95,93,0.45161290322580644,1.0505278982598365,0.0,0.0,0.0,0,28
0.3,Fold 2,0.1,0.9,93,0.45161290322580644,1.0504293973238958,0.0,0.0,0.0,0,28
0.3,Fold 2,0.15000000000000002,0.85,93,0.46236559139784944,1.0503913391662416,0.0,0.0,0.0,0,28
0.3,Fold 2,0.2,0.8,93,0.46236559139784944,1.0504116665434908,0.0,0.0,0.0,0,28
0.3,Fold 2,0.25,0.75,93,0.46236559139784944,1.0504885969494884,0.0,0.0,0.0,0,28
0.3,Fold 2,0.30000000000000004,0.7,93,0.46236559139784944,1.0506205832482491,0.0,0.0,0.0,0,28
0.3,Fold 2,0.35000000000000003,0.6499999999999999,93,0.46236559139784944,1.0508062818519759,0.0,0.0,0.0,0,28
0.3,Fold 2,0.4,0.6,93,0.46236559139784944,1.051044526802392,0.0,0.0,0.0,0,28
0.3,Fold 2,0.45,0.55,93,0.46236559139784944,1.051334308521741,0.0,0.0,0.0,0,28
0.3,Fold 2,0.5,0.5,93,0.46236559139784944,1.0516747562963082,0.0,0.0,0.0,0,28
0.3,Fold 2,0.55,0.44999999999999996,93,0.46236559139784944,1.0520651237735068,0.0,0.0,0.0,0,28
0.3,Fold 2,0.6000000000000001,0.3999999999999999,93,0.46236559139784944,1.052504776916114,0.0,0.0,0.0,0,28
0.3,Fold 2,0.65,0.35,93,0.46236559139784944,1.0529931839796745,0.0,0.0,0.0,0,28
0.3,Fold 2,0.7000000000000001,0.29999999999999993,93,0.46236559139784944,1.0535299071723736,0.0,0.0,0.0,0,28
0.3,Fold 2,0.75,0.25,93,0.46236559139784944,1.0541145957285,0.0,0.0,0.0,0,28
0.3,Fold 2,0.8,0.19999999999999996,93,0.46236559139784944,1.0547469801825342,0.0,0.0,0.0,0,28
0.3,Fold 2,0.8500000000000001,0.1499999999999999,93,0.46236559139784944,1.0554268676749077,0.0,0.0,0.0,0,28
0.3,Fold 2,0.9,0.09999999999999998,93,0.46236559139784944,1.0561541381555486,0.0,0.0,0.0,0,28
0.3,Fold 2,0.9500000000000001,0.04999999999999993,93,0.46236559139784944,1.0569287413796689,0.0,0.0,0.0,0,28
0.3,Fold 2,1.0,0.0,93,0.46236559139784944,1.0577506946134505,0.0,0.0,0.0,0,28
0.3,Fold 3,0.0,1.0,93,0.5913978494623656,0.9443192441770849,0.0,0.0,0.0,0,24
0.3,Fold 3,0.05,0.95,93,0.5913978494623656,0.9417403149048372,0.0,0.0,0.0,0,24
0.3,Fold 3,0.1,0.9,93,0.5913978494623656,0.9392535708843668,0.0,0.0,0.0,0,24
0.3,Fold 3,0.15000000000000002,0.85,93,0.6021505376344086,0.9368577926803006,0.0,0.0,0.0,0,24
0.3,Fold 3,0.2,0.8,93,0.6021505376344086,0.9345519052667629,0.0,0.0,0.0,0,24
0.3,Fold 3,0.25,0.75,93,0.6021505376344086,0.9323349722192102,0.0,0.0,0.0,0,24
0.3,Fold 3,0.30000000000000004,0.7,93,0.6021505376344086,0.930206190900544,0.0,0.0,0.0,0,24
0.3,Fold 3,0.35000000000000003,0.6499999999999999,93,0.5913978494623656,0.9281648885725368,0.0,0.0,0.0,1,24
0.3,Fold 3,0.4,0.6,93,0.5913978494623656,0.926210519379224,0.0,0.0,0.0,1,24
0.3,Fold 3,0.45,0.55,93,0.5806451612903226,0.9243426621630658,0.0,0.0,0.0,1,24
0.3,Fold 3,0.5,0.5,93,0.5806451612903226,0.9225610190878804,0.0,0.0,0.0,1,24
0.3,Fold 3,0.55,0.44999999999999996,93,0.5806451612903226,0.9208654150551049,0.0,0.0,0.0,1,24
0.3,Fold 3,0.6000000000000001,0.3999999999999999,93,0.5806451612903226,0.9192557979122865,0.0,0.0,0.0,1,24
0.3,Fold 3,0.65,0.35,93,0.5698924731182796,0.9177322394651262,0.0,0.0,0.0,1,24
0.3,Fold 3,0.7000000000000001,0.29999999999999993,93,0.5591397849462365,0.9162949373173279,0.0,0.0,0.0,2,24
0.3,Fold 3,0.75,0.25,93,0.5591397849462365,0.9149442175762897,0.0,0.0,0.0,2,24
0.3,Fold 3,0.8,0.19999999999999996,93,0.5698924731182796,0.9136805384777684,0.3333333333333333,0.041666666666666664,0.07407407407407407,3,24
0.3,Fold 3,0.8500000000000001,0.1499999999999999,93,0.5806451612903226,0.9125044949995844,0.5,0.08333333333333333,0.14285714285714285,4,24
0.3,Fold 3,0.9,0.09999999999999998,93,0.5806451612903226,0.9114168245537783,0.5,0.08333333333333333,0.14285714285714285,4,24
0.3,Fold 3,0.9500000000000001,0.04999999999999993,93,0.5806451612903226,0.9104184138691747,0.5,0.08333333333333333,0.14285714285714285,4,24
0.3,Fold 3,1.0,0.0,93,0.5806451612903226,0.9095103072029609,0.5,0.08333333333333333,0.14285714285714285,4,24
1.0,Fold 1,0.0,1.0,93,0.43010752688172044,1.0473106656075901,0.0,0.0,0.0,0,26
1.0,Fold 1,0.05,0.95,93,0.43010752688172044,1.0475942800902387,0.0,0.0,0.0,0,26
1.0,Fold 1,0.1,0.9,93,0.44086021505376344,1.047925432319258,0.0,0.0,0.0,0,26
1.0,Fold 1,0.15000000000000002,0.85,93,0.44086021505376344,1.0483039404301988,0.0,0.0,0.0,0,26
1.0,Fold 1,0.2,0.8,93,0.44086021505376344,1.048729683321239,0.0,0.0,0.0,0,26
1.0,Fold 1,0.25,0.75,93,0.44086021505376344,1.0492025981485258,0.0,0.0,0.0,0,26
1.0,Fold 1,0.30000000000000004,0.7,93,0.44086021505376344,1.049722678330893,0.0,0.0,0.0,0,26
1.0,Fold 1,0.35000000000000003,0.6499999999999999,93,0.41935483870967744,1.0502899720133276,0.0,0.0,0.0,0,26
1.0,Fold 1,0.4,0.6,93,0.41935483870967744,1.0509045809491473,0.0,0.0,0.0,0,26
1.0,Fold 1,0.45,0.55,93,0.40860215053763443,1.0515666597698985,0.0,0.0,0.0,0,26
1.0,Fold 1,0.5,0.5,93,0.40860215053763443,1.0522764156197733,0.0,0.0,0.0,0,26
1.0,Fold 1,0.55,0.44999999999999996,93,0.40860215053763443,1.0530341081382604,0.0,0.0,0.0,0,26
1.0,Fold 1,0.6000000000000001,0.3999999999999999,93,0.41935483870967744,1.0538400497809917,0.0,0.0,0.0,0,26
1.0,Fold 1,0.65,0.35,93,0.41935483870967744,1.0546946064745284,0.0,0.0,0.0,0,26
1.0,Fold 1,0.7000000000000001,0.29999999999999993,93,0.41935483870967744,1.0555981986064082,0.0,0.0,0.0,0,26
1.0,Fold 1,0.75,0.25,93,0.41935483870967744,1.0565513023572144,0.0,0.0,0.0,0,26
1.0,Fold 1,0.8,0.19999999999999996,93,0.41935483870967744,1.0575544513870099,0.0,0.0,0.0,0,26
1.0,Fold 1,0.8500000000000001,0.1499999999999999,93,0.41935483870967744,1.0586082388942806,0.0,0.0,0.0,0,26
1.0,Fold 1,0.9,0.09999999999999998,93,0.41935483870967744,1.059713320071796,0.0,0.0,0.0,0,26
1.0,Fold 1,0.9500000000000001,0.04999999999999993,93,0.41935483870967744,1.0608704149906958,0.0,0.0,0.0,0,26
1.0,Fold 1,1.0,0.0,93,0.40860215053763443,1.0620803119518725,0.0,0.0,0.0,1,26
1.0,Fold 2,0.0,1.0,93,0.44086021505376344,1.0553009122317163,0.0,0.0,0.0,0,28
1.0,Fold 2,0.05,0.95,93,0.44086021505376344,1.0549869711528406,0.0,0.0,0.0,0,28
1.0,Fold 2,0.1,0.9,93,0.46236559139784944,1.0547274361710617,0.0,0.0,0.0,0,28
1.0,Fold 2,0.15000000000000002,0.85,93,0.46236559139784944,1.0545200230197793,0.0,0.0,0.0,0,28
1.0,Fold 2,0.2,0.8,93,0.46236559139784944,1.054362756439388,0.0,0.0,0.0,0,28
1.0,Fold 2,0.25,0.75,93,0.46236559139784944,1.0542539211933273,0.0,0.0,0.0,0,28
1.0,Fold 2,0.30000000000000004,0.7,93,0.46236559139784944,1.0541920228607213,0.0,0.0,0.0,0,28
