alpha,fold,catboost_weight,poisson_weight,matches,accuracy,logloss,draw_precision,draw_recall,draw_f1,predicted_draws,actual_draws
0.3,Fold 3,0.1,0.9,185,0.4918918918918919,1.0189992691739036,0.0,0.0,0.0,0,38
0.3,Fold 3,0.15000000000000002,0.85,185,0.4918918918918919,1.0168718183401844,0.0,0.0,0.0,0,38
0.3,Fold 3,0.2,0.8,185,0.4864864864864865,1.0149788989813584,0.0,0.0,0.0,0,38
0.3,Fold 3,0.25,0.75,185,0.4756756756756757,1.0133123616279307,0.0,0.0,0.0,0,38
0.3,Fold 3,0.30000000000000004,0.7,185,0.4648648648648649,1.0118661258486434,0.0,0.0,0.0,0,38
0.3,Fold 3,0.35000000000000003,0.6499999999999999,185,0.4702702702702703,1.0106358276309,0.0,0.0,0.0,1,38
0.3,Fold 3,0.4,0.6,185,0.4918918918918919,1.0096185822234558,0.0,0.0,0.0,1,38
0.3,Fold 3,0.45,0.55,185,0.4864864864864865,1.0088128290040719,0.0,0.0,0.0,2,38
0.3,Fold 3,0.5,0.5,185,0.4810810810810811,1.0082182382919964,0.0,0.0,0.0,2,38
0.3,Fold 3,0.55,0.44999999999999996,185,0.4756756756756757,1.0078356684722347,0.0,0.0,0.0,2,38
0.3,Fold 3,0.6000000000000001,0.3999999999999999,185,0.4756756756756757,1.0076671676427773,0.0,0.0,0.0,2,38
0.3,Fold 3,0.65,0.35,185,0.4864864864864865,1.0077160185897251,0.3333333333333333,0.02631578947368421,0.048780487804878044,3,38
0.3,Fold 3,0.7000000000000001,0.29999999999999993,185,0.4864864864864865,1.0079868301652117,0.25,0.02631578947368421,0.04761904761904762,4,38
0.3,Fold 3,0.75,0.25,185,0.4864864864864865,1.0084856829022262,0.2,0.02631578947368421,0.046511627906976744,5,38
0.3,Fold 3,0.8,0.19999999999999996,185,0.4864864864864865,1.0092203429038489,0.2,0.02631578947368421,0.046511627906976744,5,38
0.3,Fold 3,0.8500000000000001,0.1499999999999999,185,0.4972972972972973,1.0102005671098035,0.4,0.05263157894736842,0.09302325581395349,5,38
0.3,Fold 3,0.9,0.09999999999999998,185,0.4972972972972973,1.0114385374017132,0.4,0.05263157894736842,0.09302325581395349,5,38
0.3,Fold 3,0.9500000000000001,0.04999999999999993,185,0.4972972972972973,1.0129494852168655,0.4,0.05263157894736842,0.09302325581395349,5,38
0.3,Fold 3,1.0,0.0,185,0.5081081081081081,1.0147526115443672,0.5,0.07894736842105263,0.13636363636363635,6,38
1.0,Fold 1,0.0,1.0,185,0.572972972972973,1.0032558938502052,0.0,0.0,0.0,0,44
1.0,Fold 1,0.05,0.95,185,0.572972972972973,1.0018619431276679,0.0,0.0,0.0,0,44
1.0,Fold 1,0.1,0.9,185,0.572972972972973,1.000564669068971,0.0,0.0,0.0,0,44
1.0,Fold 1,0.15000000000000002,0.85,185,0.5675675675675675,0.9993634255455671,0.0,0.0,0.0,0,44
1.0,Fold 1,0.2,0.8,185,0.572972972972973,0.9982577735085433,0.0,0.0,0.0,0,44
1.0,Fold 1,0.25,0.75,185,0.5567567567567567,0.9972474765234188,0.0,0.0,0.0,0,44
1.0,Fold 1,0.30000000000000004,0.7,185,0.5567567567567567,0.9963324986381201,0.0,0.0,0.0,0,44
1.0,Fold 1,0.35000000000000003,0.6499999999999999,185,0.5513513513513514,0.995513004500237,0.0,0.0,0.0,0,44
1.0,Fold 1,0.4,0.6,185,0.5513513513513514,0.9947893617052574,0.0,0.0,0.0,0,44
1.0,Fold 1,0.45,0.55,185,0.5405405405405406,0.9941621454210857,0.0,0.0,0.0,0,44
1.0,Fold 1,0.5,0.5,185,0.5459459459459459,0.9936321453992294,0.0,0.0,0.0,0,44
1.0,Fold 1,0.55,0.44999999999999996,185,0.5405405405405406,0.9932003755530597,0.0,0.0,0.0,0,44
1.0,Fold 1,0.6000000000000001,0.3999999999999999,185,0.5351351351351351,0.9928680863624092,0.0,0.0,0.0,0,44
1.0,Fold 1,0.65,0.35,185,0.5405405405405406,0.9926367804560389,0.0,0.0,0.0,0,44
1.0,Fold 1,0.7000000000000001,0.29999999999999993,185,0.5351351351351351,0.992508231834945,0.0,0.0,0.0,0,44
1.0,Fold 1,0.75,0.25,185,0.5297297297297298,0.992484509337567,0.0,0.0,0.0,0,44
1.0,Fold 1,0.8,0.19999999999999996,185,0.5297297297297298,0.9925680051227759,0.0,0.0,0.0,0,44
1.0,Fold 1,0.8500000000000001,0.1499999999999999,185,0.5297297297297298,0.9927614691718639,0.0,0.0,0.0,0,44
1.0,Fold 1,0.9,0.09999999999999998,185,0.5243243243243243,0.9930680511060928,0.0,0.0,0.0,0,44
1.0,Fold 1,0.9500000000000001,0.04999999999999993,185,0.518918918918919,0.9934913510093468,0.0,0.0,0.0,0,44
1.0,Fold 1,1.0,0.0,185,0.518918918918919,0.9940354814764374,0.0,0.0,0.0,0,44
1.0,Fold 2,0.0,1.0,185,0.5135135135135135,1.0045944527749524,0.0,0.0,0.0,0,43
1.0,Fold 2,0.05,0.95,185,0.5297297297297298,1.0039992955492003,0.0,0.0,0.0,0,43
1.0,Fold 2,0.1,0.9,185,0.5297297297297298,1.0034651450112049,0.0,0.0,0.0,0,43
1.0,Fold 2,0.15000000000000002,0.85,185,0.5297297297297298,1.0029918896501195,0.0,0.0,0.0,0,43
1.0,Fold 2,0.2,0.8,185,0.5297297297297298,1.0025794951245761,0.0,0.0,0.0,0,43
1.0,Fold 2,0.25,0.75,185,0.5243243243243243,1.002228003571356,0.0,0.0,0.0,0,43
1.0,Fold 2,0.30000000000000004,0.7,185,0.518918918918919,1.001937533428259,0.0,0.0,0.0,0,43
1.0,Fold 2,0.35000000000000003,0.6499999999999999,185,0.5243243243243243,1.001708279761389,0.0,0.0,0.0,0,43
1.0,Fold 2,0.4,0.6,185,0.5405405405405406,1.0015405150957724,0.0,0.0,0.0,0,43
1.0,Fold 2,0.45,0.55,185,0.5405405405405406,1.001434590756751,0.0,0.0,0.0,0,43
1.0,Fold 2,0.5,0.5,185,0.5459459459459459,1.0013909387382205,0.0,0.0,0.0,0,43
1.0,Fold 2,0.55,0.44999999999999996,185,0.5459459459459459,1.0014100741227858,0.0,0.0,0.0,0,43
1.0,Fold 2,0.6000000000000001,0.3999999999999999,185,0.5459459459459459,1.0014925980885734,0.0,0.0,0.0,0,43
1.0,Fold 2,0.65,0.35,185,0.5567567567567567,1.0016392015481144,0.0,0.0,0.0,0,43
1.0,Fold 2,0.7000000000000001,0.29999999999999993,185,0.5513513513513514,1.0018506694767177,0.0,0.0,0.0,0,43
1.0,Fold 2,0.75,0.25,185,0.5459459459459459,1.0021278860015748,0.0,0.0,0.0,0,43
1.0,Fold 2,0.8,0.19999999999999996,185,0.5405405405405406,1.0024718403389605,0.0,0.0,0.0,0,43
1.0,Fold 2,0.8500000000000001,0.1499999999999999,185,0.5405405405405406,1.0028836336860183,0.0,0.0,0.0,0,43
1.0,Fold 2,0.9,0.09999999999999998,185,0.5405405405405406,1.0033644871964995,0.0,0.0,0.0,0,43
1.0,Fold 2,0.9500000000000001,0.04999999999999993,185,0.5351351351351351,1.0039157511976033,0.0,0.0,0.0,0,43
1.0,Fold 2,1.0,0.0,185,0.5405405405405406,1.0045389158390008,0.0,0.0,0.0,0,43
1.0,Fold 3,0.0,1.0,185,0.4972972972972973,1.0179256397899141,0.0,0.0,0.0,0,38
1.0,Fold 3,0.05,0.95,185,0.4918918918918919,1.015960998968895,0.0,0.0,0.0,0,38
1.0,Fold 3,0.1,0.9,185,0.4810810810810811,1.0141766957333096,0.0,0.0,0.0,0,38
1.0,Fold 3,0.15000000000000002,0.85,185,0.4810810810810811,1.0125717247491108,0.0,0.0,0.0,0,38
1.0,Fold 3,0.2,0.8,185,0.4810810810810811,1.0111455921362495,0.0,0.0,0.0,0,38
1.0,Fold 3,0.25,0.75,185,0.4756756756756757,1.0098983208374441,0.0,0.0,0.0,0,38
1.0,Fold 3,0.30000000000000004,0.7,185,0.4756756756756757,1.0088304637090277,0.0,0.0,0.0,0,38
1.0,Fold 3,0.35000000000000003,0.6499999999999999,185,0.4702702702702703,1.0079431250692585,0.0,0.0,0.0,0,38
1.0,Fold 3,0.4,0.6,185,0.4648648648648649,1.007237991826455,0.0,0.0,0.0,1,38
1.0,Fold 3,0.45,0.55,185,0.4810810810810811,1.0067173758006756,0.0,0.0,0.0,2,38
1.0,Fold 3,0.5,0.5,185,0.4864864864864865,1.006384269501731,0.0,0.0,0.0,2,38
1.0,Fold 3,0.55,0.44999999999999996,185,0.4810810810810811,1.0062424185124987,0.0,0.0,0.0,2,38
1.0,Fold 3,0.6000000000000001,0.3999999999999999,185,0.4756756756756757,1.0062964148719904,0.0,0.0,0.0,2,38
1.0,Fold 3,0.65,0.35,185,0.4918918918918919,1.0065518176510737,0.3333333333333333,0.02631578947368421,0.048780487804878044,3,38
1.0,Fold 3,0.7000000000000001,0.29999999999999993,185,0.4972972972972973,1.0070153095812608,0.3333333333333333,0.02631578947368421,0.048780487804878044,3,38
