iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,best_iteration,validation_accuracy,validation_log_loss,elapsed_seconds
500,6,0.05,3,1.0,1.0,108,0.4828897338403042,1.021989397314769,1.26
800,6,0.05,3,1.0,1.0,108,0.4828897338403042,1.021989397314769,1.29
300,7,0.03,7,1.0,0.5,179,0.4752851711026616,1.0222199434438966,3.33
500,7,0.03,7,1.0,0.5,179,0.4752851711026616,1.0222199434438966,3.29
800,7,0.03,7,1.0,0.5,179,0.4752851711026616,1.0222199434438966,3.4
300,5,0.05,7,1.0,1.0,162,0.467680608365019,1.022277746533262,1.0
500,5,0.05,7,1.0,1.0,162,0.467680608365019,1.022277746533262,0.97
800,5,0.05,7,1.0,1.0,162,0.467680608365019,1.022277746533262,1.0
300,5,0.05,3,1.0,1.0,83,0.467680608365019,1.0227237627803276,0.63
500,5,0.05,3,1.0,1.0,83,0.467680608365019,1.0227237627803276,0.63
800,5,0.05,3,1.0,1.0,83,0.467680608365019,1.0227237627803276,0.63
300,6,0.03,7,0.5,1.0,244,0.49429657794676807,1.022946304016492,2.3
500,6,0.03,7,0.5,1.0,244,0.49429657794676807,1.022946304016492,2.28
800,6,0.03,7,0.5,1.0,244,0.49429657794676807,1.022946304016492,2.32
300,5,0.05,3,0.5,0.5,163,0.4828897338403042,1.023444923056861,0.98
500,5,0.05,3,0.5,0.5,163,0.4828897338403042,1.023444923056861,0.97
800,5,0.05,3,0.5,0.5,163,0.4828897338403042,1.023444923056861,0.97
300,7,0.03,7,0.5,1.0,178,0.467680608365019,1.0236924495160105,3.3
500,7,0.03,7,0.5,1.0,178,0.467680608365019,1.0236924495160105,3.35
800,7,0.03,7,0.5,1.0,178,0.467680608365019,1.0236924495160105,3.3
500,5,0.03,7,1.0,1.0,410,0.4790874524714829,1.0237544656587452,2.08
800,5,0.03,7,1.0,1.0,410,0.4790874524714829,1.0237544656587452,2.05
300,5,0.05,3,1.0,0.5,95,0.49429657794676807,1.024058355642997,0.68
500,5,0.05,3,1.0,0.5,95,0.49429657794676807,1.024058355642997,0.68
800,5,0.05,3,1.0,0.5,95,0.49429657794676807,1.024058355642997,0.71
300,7,0.03,3,1.0,0.5,132,0.46387832699619774,1.0243615284945637,2.62
500,7,0.03,3,1.0,0.5,132,0.46387832699619774,1.0243615284945637,2.65
800,7,0.03,3,1.0,0.5,132,0.46387832699619774,1.0243615284945637,2.6
300,6,0.05,7,1.0,1.0,110,0.49049429657794674,1.0246420316788547,1.27
500,6,0.05,7,1.0,1.0,110,0.49049429657794674,1.0246420316788547,1.27
800,6,0.05,7,1.0,1.0,110,0.49049429657794674,1.0246420316788547,1.3
300,7,0.03,3,0.5,0.5,158,0.4828897338403042,1.0247037730275517,3.02
500,7,0.03,3,0.5,0.5,158,0.4828897338403042,1.0247037730275517,3.01
800,7,0.03,3,0.5,0.5,158,0.4828897338403042,1.0247037730275517,2.97
300,7,0.05,7,0.5,0.5,131,0.467680608365019,1.0247951041868006,2.68
500,7,0.05,7,0.5,0.5,131,0.467680608365019,1.0247951041868006,2.65
800,7,0.05,7,0.5,0.5,131,0.467680608365019,1.0247951041868006,2.82
300,5,0.03,3,1.0,1.0,130,0.4790874524714829,1.0250738620196918,0.88
500,5,0.03,3,1.0,1.0,130,0.4790874524714829,1.0250738620196918,0.82
800,5,0.03,3,1.0,1.0,130,0.4790874524714829,1.0250738620196918,0.82
300,6,0.05,3,1.0,0.5,155,0.4752851711026616,1.0254108895102843,1.71
500,6,0.05,3,1.0,0.5,155,0.4752851711026616,1.0254108895102843,1.6
800,6,0.05,3,1.0,0.5,155,0.4752851711026616,1.0254108895102843,1.67
300,5,0.03,7,0.5,0.5,228,0.4752851711026616,1.0254139780018203,1.29
500,5,0.03,7,0.5,0.5,228,0.4752851711026616,1.0254139780018203,1.29
800,5,0.03,7,0.5,0.5,228,0.4752851711026616,1.0254139780018203,1.25
300,5,0.03,7,1.0,1.0,296,0.4790874524714829,1.0254578339112275,1.38
300,5,0.03,3,0.5,1.0,236,0.46387832699619774,1.0254688929584377,1.27
500,5,0.03,3,0.5,1.0,236,0.46387832699619774,1.0254688929584377,1.28
800,5,0.03,3,0.5,1.0,236,0.46387832699619774,1.0254688929584377,1.32
300,6,0.03,7,1.0,0.5,213,0.46387832699619774,1.0255244912116346,2.06
500,6,0.03,7,1.0,0.5,213,0.46387832699619774,1.0255244912116346,2.11
800,6,0.03,7,1.0,0.5,213,0.46387832699619774,1.0255244912116346,2.12
300,6,0.03,7,0.5,0.5,231,0.467680608365019,1.0259996054290974,2.22
500,6,0.03,7,0.5,0.5,231,0.467680608365019,1.0259996054290974,2.18
800,6,0.03,7,0.5,0.5,231,0.467680608365019,1.0259996054290974,2.18
300,6,0.05,7,1.0,0.5,85,0.4714828897338403,1.0260586658516502,1.12
500,6,0.05,7,1.0,0.5,85,0.4714828897338403,1.0260586658516502,1.09
800,6,0.05,7,1.0,0.5,85,0.4714828897338403,1.0260586658516502,1.09
300,7,0.05,3,0.5,1.0,69,0.4752851711026616,1.0260726026765352,1.78
500,7,0.05,3,0.5,1.0,69,0.4752851711026616,1.0260726026765352,1.76
800,7,0.05,3,0.5,1.0,69,0.4752851711026616,1.0260726026765352,1.77
