alpha,catboost_weight,poisson_weight,mean_accuracy,mean_logloss,mean_draw_precision,mean_draw_recall,mean_draw_f1,mean_predicted_draws
1.0,0.0,1.0,0.527927927927928,1.0085919954716906,0.0,0.0,0.0,0.0
1.0,0.05,0.95,0.5315315315315315,1.0072740792152544,0.0,0.0,0.0,0.0
1.0,0.1,0.9,0.527927927927928,1.0060688366044952,0.0,0.0,0.0,0.0
1.0,0.15000000000000002,0.85,0.5261261261261262,1.0049756799815992,0.0,0.0,0.0,0.0
1.0,0.2,0.8,0.527927927927928,1.0039942869231229,0.0,0.0,0.0,0.0
1.0,0.25,0.75,0.518918918918919,1.0031246003107397,0.0,0.0,0.0,0.0
1.0,0.30000000000000004,0.7,0.5171171171171172,1.0023668319251355,0.0,0.0,0.0,0.0
1.0,0.35000000000000003,0.6499999999999999,0.5153153153153153,1.0017214697769614,0.0,0.0,0.0,0.0
1.0,0.4,0.6,0.518918918918919,1.001189289542495,0.0,0.0,0.0,0.3333333333333333
1.0,0.45,0.55,0.5207207207207207,1.000771370659504,0.0,0.0,0.0,0.6666666666666666
1.0,0.5,0.5,0.5261261261261261,1.000469117879727,0.0,0.0,0.0,0.6666666666666666
1.0,0.55,0.44999999999999996,0.5225225225225225,1.0002842893961148,0.0,0.0,0.0,0.6666666666666666
1.0,0.6000000000000001,0.3999999999999999,0.518918918918919,1.0002190331076577,0.0,0.0,0.0,0.6666666666666666
1.0,0.65,0.35,0.5297297297297298,1.000275933218409,0.1111111111111111,0.008771929824561403,0.016260162601626015,1.0
1.0,0.7000000000000001,0.29999999999999993,0.527927927927928,1.0004580702976413,0.1111111111111111,0.008771929824561403,0.016260162601626015,1.0
1.0,0.75,0.25,0.5261261261261261,1.0007690993350118,0.16666666666666666,0.017543859649122806,0.03174603174603175,1.3333333333333333
1.0,0.8,0.19999999999999996,0.5243243243243243,1.0012133525206581,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
1.0,0.8500000000000001,0.1499999999999999,0.5225225225225225,1.0017959770286762,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
1.0,0.9,0.09999999999999998,0.5207207207207207,1.0025231240437897,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
1.0,0.9500000000000001,0.04999999999999993,0.5171171171171172,1.0034022157406814,0.13333333333333333,0.017543859649122806,0.031007751937984496,1.6666666666666667
1.0,1.0,0.0,0.5225225225225225,1.004442336286602,0.16666666666666666,0.02631578947368421,0.04545454545454545,2.0
