fold,draw_weight,fixture_id,kickoff,home_team_id,away_team_id,actual,prediction,p_home,p_draw,p_away,confidence,best_iteration,features_count,correct,max_non_draw,draw_rank
Fold 1,1.0,1606,2025-02-10 20:00:00,98,96,D,H,0.4494553793252144,0.2850977177549705,0.265446902919815,0.4494553793252144,48,60,False,0.4494553793252144,2.0
Fold 2,1.0,1657,2025-03-29 15:15:00,88,80,D,A,0.2900927847216235,0.2831998338823486,0.4267073813960279,0.4267073813960279,44,60,False,0.4267073813960279,3.0
Fold 2,1.0,927,2025-03-29 14:30:00,47,50,D,H,0.3724716477196769,0.2804744810648589,0.3470538712154641,0.3724716477196769,44,60,False,0.3724716477196769,3.0
Fold 3,1.0,1747,2025-05-23 19:00:00,91,82,D,H,0.4828271906320629,0.2804673245271128,0.2367054848408243,0.4828271906320629,273,60,False,0.4828271906320629,2.0
Fold 2,1.0,1305,2025-04-06 18:45:00,66,65,D,H,0.4724099889002232,0.2794748427473952,0.2481151683523815,0.4724099889002232,44,60,False,0.4724099889002232,2.0
Fold 3,1.0,683,2025-05-25 15:00:00,5,17,D,H,0.5661822727273469,0.278857713113733,0.1549600141589201,0.5661822727273469,273,60,False,0.5661822727273469,2.0
Fold 3,1.0,977,2025-05-09 18:30:00,42,47,D,A,0.3008658700157529,0.278784307291347,0.4203498226929,0.4203498226929,273,60,False,0.4203498226929,3.0
Fold 1,1.0,1608,2025-02-15 13:00:00,86,90,D,H,0.3664977701853912,0.2780843045399298,0.3554179252746788,0.3664977701853912,48,60,False,0.3664977701853912,3.0
Fold 2,1.0,1303,2025-04-06 13:00:00,73,61,D,A,0.2942339845178099,0.2774619143623842,0.4283041011198059,0.4283041011198059,44,60,False,0.4283041011198059,3.0
Fold 2,1.0,631,2025-04-19 14:00:00,16,3,D,A,0.3317160331336057,0.2774401254019868,0.3908438414644075,0.3908438414644075,44,60,False,0.3908438414644075,3.0
Fold 2,1.0,1306,2025-04-07 18:45:00,68,62,D,H,0.4631682994213881,0.2764713774806054,0.2603603230980064,0.4631682994213881,44,60,False,0.4631682994213881,2.0
Fold 2,1.0,952,2025-04-19 13:30:00,45,42,D,H,0.4391756160044009,0.2761286059235612,0.2846957780720378,0.4391756160044009,44,60,False,0.4391756160044009,3.0
Fold 2,1.0,603,2025-04-02 18:45:00,7,16,D,A,0.3018547078378844,0.2759518407897388,0.4221934513723768,0.4221934513723768,44,60,False,0.4221934513723768,3.0
Fold 1,1.0,1601,2025-02-08 20:00:00,89,80,D,H,0.4749340081843151,0.2758423402919837,0.2492236515237013,0.4749340081843151,48,60,False,0.4749340081843151,2.0
Fold 1,1.0,875,2025-02-08 17:30:00,44,49,D,H,0.4183390012661229,0.2752161089566869,0.3064448897771902,0.4183390012661229,48,60,False,0.4183390012661229,3.0
Fold 3,1.0,969,2025-05-03 13:30:00,44,47,D,H,0.3882469632720299,0.2750633755319906,0.3366896611959795,0.3882469632720299,273,60,False,0.3882469632720299,3.0
Fold 3,1.0,288,2025-05-04 18:45:00,22,24,D,H,0.4219237849737095,0.2745567452027733,0.3035194698235171,0.4219237849737095,273,60,False,0.4219237849737095,3.0
Fold 1,1.0,888,2025-02-22 14:30:00,42,53,D,H,0.3832997201219533,0.2734128098802078,0.3432874699978389,0.3832997201219533,48,60,False,0.3832997201219533,3.0
Fold 2,1.0,233,2025-03-16 16:15:00,34,30,D,H,0.5154004715486945,0.27335093644906,0.2112485920022454,0.5154004715486945,44,60,False,0.5154004715486945,2.0
Fold 1,1.0,1627,2025-02-28 20:00:00,95,84,D,A,0.3066364223645019,0.2716018416973927,0.4217617359381052,0.4217617359381052,48,60,False,0.4217617359381052,3.0
Fold 1,1.0,559,2025-02-19 19:30:00,20,6,D,A,0.2562745458225742,0.271357685297145,0.4723677688802808,0.4723677688802808,48,60,False,0.4723677688802808,2.0
Fold 2,1.0,939,2025-04-06 13:30:00,56,44,D,A,0.266522829229633,0.2694630673107409,0.4640141034596262,0.4640141034596262,44,60,False,0.4640141034596262,2.0
Fold 1,1.0,1233,2025-02-09 17:00:00,76,68,D,A,0.2407281023217572,0.2687913827327476,0.490480514945495,0.490480514945495,48,60,False,0.490480514945495,2.0
Fold 2,1.0,1653,2025-03-16 17:30:00,97,94,D,H,0.5051487625606885,0.268072152549013,0.2267790848902984,0.5051487625606885,44,60,False,0.5051487625606885,2.0
Fold 1,1.0,176,2025-02-02 14:00:00,33,27,D,A,0.3551454643232059,0.2676345701562912,0.3772199655205029,0.3772199655205029,48,60,False,0.3772199655205029,3.0
Fold 2,1.0,615,2025-04-06 13:00:00,17,13,D,A,0.2901773167123259,0.2667764179228501,0.4430462653648239,0.4430462653648239,44,60,False,0.4430462653648239,3.0
Fold 2,1.0,257,2025-04-13 13:00:00,39,34,D,A,0.2916944676419854,0.2664724683160489,0.4418330640419658,0.4418330640419658,44,60,False,0.4418330640419658,3.0
Fold 2,1.0,622,2025-04-12 16:30:00,8,17,D,H,0.5107261876371509,0.2661302623290031,0.2231435500338458,0.5107261876371509,44,60,False,0.5107261876371509,2.0
Fold 2,1.0,1687,2025-04-19 12:00:00,97,82,D,H,0.3777148663571325,0.26571623452687,0.3565688991159975,0.3777148663571325,44,60,False,0.3777148663571325,3.0
Fold 2,1.0,1295,2025-03-31 16:30:00,71,75,D,A,0.3646246698086322,0.2653367619348856,0.3700385682564821,0.3700385682564821,44,60,False,0.3700385682564821,3.0
Fold 1,1.0,1628,2025-03-01 13:00:00,93,87,D,H,0.4108236657221955,0.2652908328332297,0.3238855014445748,0.4108236657221955,48,60,False,0.4108236657221955,3.0
Fold 1,1.0,205,2025-02-23 16:15:00,32,34,D,H,0.4281794086334,0.2645353631732509,0.3072852281933491,0.4281794086334,48,60,False,0.4281794086334,3.0
Fold 2,1.0,630,2025-04-19 14:00:00,12,7,D,H,0.4885544534619193,0.2641482687733184,0.2472972777647623,0.4885544534619193,44,60,False,0.4885544534619193,2.0
Fold 1,1.0,1609,2025-02-15 15:15:00,96,89,D,A,0.2307161061126804,0.2639898139930033,0.5052940798943162,0.5052940798943162,48,60,False,0.5052940798943162,2.0
Fold 1,1.0,1626,2025-02-24 20:00:00,85,98,D,H,0.4871344184670965,0.2639723486217784,0.2488932329111252,0.4871344184670965,48,60,False,0.4871344184670965,2.0
Fold 1,1.0,576,2025-02-26 19:30:00,17,9,D,H,0.451406771966132,0.2638434417204543,0.2847497863134136,0.451406771966132,48,60,False,0.451406771966132,3.0
Fold 1,1.0,177,2025-02-02 16:15:00,21,36,D,H,0.4997624369430257,0.2635955001506559,0.2366420629063183,0.4997624369430257,48,60,False,0.4997624369430257,2.0
Fold 3,1.0,1349,2025-05-10 16:00:00,59,65,D,H,0.4272259300685143,0.2632193097070817,0.3095547602244039,0.4272259300685143,273,60,False,0.4272259300685143,3.0
Fold 1,1.0,561,2025-02-22 12:30:00,9,1,D,H,0.4221851898000981,0.261968785230792,0.3158460249691098,0.4221851898000981,48,60,False,0.4221851898000981,3.0
Fold 1,1.0,895,2025-02-23 18:30:00,47,51,D,A,0.3187574150299342,0.2613288039139351,0.4199137810561306,0.4199137810561306,48,60,False,0.4199137810561306,3.0
Fold 1,1.0,1612,2025-02-16 13:00:00,88,81,D,A,0.293296360988049,0.2609505374707636,0.4457531015411874,0.4457531015411874,48,60,False,0.4457531015411874,3.0
Fold 1,1.0,1610,2025-02-15 17:30:00,80,87,D,H,0.5346975884596182,0.2606744284619754,0.2046279830784062,0.5346975884596182,48,60,False,0.5346975884596182,2.0
Fold 1,1.0,577,2025-02-26 19:30:00,19,8,D,A,0.2705827684494009,0.2591139413559826,0.4703032901946166,0.4703032901946166,48,60,False,0.4703032901946166,3.0
Fold 1,1.0,871,2025-02-08 14:30:00,42,48,D,A,0.2498368340014302,0.2590255603492215,0.4911376056493484,0.4911376056493484,48,60,False,0.4911376056493484,2.0
Fold 1,1.0,1229,2025-02-08 19:45:00,70,64,D,H,0.4559589625019169,0.2587597122400544,0.2852813252580286,0.4559589625019169,48,60,False,0.4559589625019169,3.0
Fold 3,1.0,296,2025-05-10 19:00:00,35,26,D,H,0.4126769473280573,0.2582223474823215,0.3291007051896211,0.4126769473280573,273,60,False,0.4126769473280573,3.0
Fold 3,1.0,1364,2025-05-18 18:45:00,75,62,D,A,0.1845636409699692,0.2555069525347666,0.5599294064952642,0.5599294064952642,273,60,False,0.5599294064952642,2.0
Fold 3,1.0,1354,2025-05-11 18:45:00,62,64,D,H,0.617922673924237,0.2555052927556144,0.1265720333201484,0.617922673924237,273,60,False,0.617922673924237,2.0
Fold 2,1.0,1282,2025-03-16 11:30:00,74,62,D,A,0.2572781730714234,0.2548789710034089,0.4878428559251677,0.4878428559251677,44,60,False,0.4878428559251677,3.0
Fold 1,1.0,188,2025-02-09 16:15:00,35,33,D,A,0.3302931560655648,0.2542318587884472,0.4154749851459879,0.4154749851459879,48,60,False,0.4154749851459879,3.0
Fold 1,1.0,201,2025-02-22 18:00:00,39,21,D,H,0.3877543684792177,0.2541571142597747,0.3580885172610076,0.3877543684792177,48,60,False,0.3877543684792177,3.0
Fold 3,1.0,988,2025-05-17 13:30:00,45,48,D,A,0.2569937364230732,0.2540448745637629,0.4889613890131639,0.4889613890131639,273,60,False,0.4889613890131639,3.0
Fold 3,1.0,3131,2026-08-16 15:00:00,117,83,D,A,0.2718774508834757,0.2537792454007671,0.4743433037157572,0.4743433037157572,273,60,False,0.4743433037157572,3.0
Fold 2,1.0,934,2025-04-05 13:30:00,45,57,D,H,0.5495130445913198,0.2537421027900241,0.1967448526186561,0.5495130445913198,44,60,False,0.5495130445913198,2.0
