fold,fixture_id,actual,cat_prediction,cat_p_home,cat_p_draw,cat_p_away,hybrid_prediction,hybrid_p_home,hybrid_p_draw,hybrid_p_away,cat_correct,hybrid_correct,changed
Fold 1,887,H,H,0.3605663813791262,0.2940767170652748,0.3453569015555989,H,0.3649700810950891,0.2777218531816762,0.3573080657232346,True,True,False
Fold 1,199,H,H,0.4727785099415359,0.2765630233095528,0.2506584667489114,H,0.4607073404845976,0.2676496634225899,0.2716429960928124,True,True,False
Fold 1,1246,A,A,0.3558510873930959,0.2658233716343174,0.3783255409725866,A,0.3426382038071129,0.2668032146483453,0.3905585815445418,True,True,False
Fold 1,560,A,A,0.3053847657912835,0.2449383562484489,0.4496768779602676,A,0.2795851396503605,0.2392566955862855,0.4811581647633539,True,True,False
Fold 1,1617,H,H,0.474997780510643,0.2782686941091875,0.2467335253801695,H,0.4529831884952416,0.271250388571519,0.2757664229332393,True,True,False
Fold 1,561,D,H,0.4221851898000981,0.261968785230792,0.3158460249691098,H,0.4202586667373811,0.261809721849478,0.3179316114131408,False,False,False
Fold 1,1618,A,H,0.3905710968872574,0.2649935201238461,0.3444353829888965,H,0.391948958149658,0.2639705869551335,0.3440804548952084,False,False,False
Fold 1,1247,D,A,0.2344087342787434,0.2362744965236871,0.5293167691975694,A,0.2351341355747346,0.2403460927814937,0.5245197716437715,False,False,False
Fold 1,1248,H,A,0.259513697951176,0.2418251013622214,0.4986612006866024,A,0.2584684625349445,0.240900085975482,0.5006314514895736,False,False,False
Fold 1,888,D,H,0.3832997201219533,0.2734128098802078,0.3432874699978389,H,0.4347447335460286,0.2580824572498822,0.3071728092040892,False,False,False
Fold 1,889,A,H,0.5883081595545849,0.2326306699573835,0.1790611704880316,H,0.5318700327239249,0.2380071468938825,0.2301228203821926,False,False,False
Fold 1,890,H,H,0.4851708487791974,0.2663381426317617,0.2484910085890407,H,0.4697152470054071,0.2663986373213604,0.2638861156732325,True,True,False
Fold 1,891,A,A,0.2509494258351594,0.235885686792916,0.5131648873719244,A,0.2406667687209156,0.2218736509713662,0.5374595803077182,True,True,False
Fold 1,562,A,H,0.5261824127179177,0.246495233039259,0.2273223542428232,H,0.5181076403590171,0.2443662004037575,0.2375261592372254,False,False,False
Fold 1,563,A,H,0.5188095584699248,0.2579306805169677,0.2232597610131075,H,0.4601795189451526,0.2609113550728709,0.2789091259819765,False,False,False
Fold 1,564,A,H,0.3812076297535904,0.2576375997120532,0.3611547705343563,A,0.3472689687192846,0.2488253112456739,0.4039057200350414,False,True,True
Fold 1,565,A,H,0.5940453985546906,0.2463906173295696,0.1595639841157396,H,0.584413942053511,0.2401803103408199,0.1754057476056689,False,False,False
Fold 1,566,A,A,0.3004875091929407,0.2624014140821985,0.4371110767248607,A,0.2807969095508621,0.2485722555897886,0.4706308348593491,True,True,False
Fold 1,1619,A,H,0.3784728251096843,0.2953949768802849,0.3261321980100307,A,0.353353055791523,0.2827159911344398,0.3639309530740371,False,True,True
Fold 1,200,H,H,0.4556537558877825,0.2865316738821228,0.2578145702300946,H,0.4377144844048662,0.2772477833408725,0.2850377322542614,True,True,False
Fold 1,1249,H,A,0.3051583112181324,0.2702927595498482,0.4245489292320192,A,0.3044268654625876,0.2688653511100914,0.426707783427321,False,False,False
Fold 1,567,H,H,0.3538266998914398,0.3149542150648309,0.3312190850437292,H,0.3645358400846246,0.2935371894369334,0.341926970478442,True,True,False
Fold 1,892,H,H,0.5436655835015173,0.2307518035112571,0.2255826129872256,H,0.5124718958264947,0.2332999395497222,0.254228164623783,True,True,False
Fold 1,1620,A,A,0.2317900638606983,0.2475594051123529,0.5206505310269487,A,0.2374648617218428,0.2441726854992965,0.5183624527788605,True,True,False
Fold 1,201,D,H,0.3877543684792177,0.2541571142597747,0.3580885172610076,A,0.3592292147859294,0.2520388772401978,0.3887319079738728,False,False,True
Fold 1,1250,H,H,0.6435198636546245,0.196047002320267,0.1604331340251084,H,0.6178221097172287,0.2062885804323961,0.1758893098503751,True,True,False
Fold 1,1621,A,A,0.2395615987723633,0.288397069551521,0.4720413316761155,A,0.2186104135941105,0.2605168857429322,0.5208727006629573,True,True,False
Fold 1,202,H,A,0.2122918537218145,0.250694376173332,0.5370137701048533,A,0.2238678699798288,0.2477656311202525,0.5283664988999186,False,False,False
Fold 1,1251,H,A,0.3521504603577322,0.2715361766640991,0.3763133629781687,A,0.3270012529866007,0.2634817244269025,0.4095170225864967,False,False,False
Fold 1,1622,H,H,0.5813679361819865,0.2404485271709349,0.1781835366470786,H,0.5935847165266707,0.2334047839577917,0.1730104995155375,True,True,False
Fold 1,203,H,A,0.2826860412572035,0.2682151022708732,0.4490988564719232,A,0.2924701288247681,0.2637389348732468,0.4437909363019851,False,False,False
Fold 1,568,H,H,0.4955634198278972,0.244601550828194,0.2598350293439088,H,0.4624156664108541,0.2465955869998932,0.2909887465892526,True,True,False
Fold 1,1252,H,A,0.267922781601469,0.2993392342220728,0.4327379841764583,A,0.2665225703958852,0.2775065786532639,0.4559708509508507,False,False,False
Fold 1,893,D,H,0.4738287173247114,0.3091870903007465,0.216984192374542,H,0.4945390853477329,0.2819867036485686,0.2234742110036985,False,False,False
Fold 1,1623,H,H,0.5606382120986947,0.2569288032742717,0.1824329846270335,H,0.5601439328048067,0.2452807267181366,0.1945753404770567,True,True,False
Fold 1,204,H,H,0.5948578299238033,0.2352262864378118,0.1699158836383848,H,0.5892795421211265,0.2320224000922149,0.1786980577866585,True,True,False
Fold 1,205,D,H,0.4281794086334,0.2645353631732509,0.3072852281933491,H,0.418704278566991,0.262181458191996,0.3191142632410129,False,False,False
Fold 1,206,A,A,0.3249183689193015,0.2582397875467927,0.4168418435339058,A,0.3230062527348866,0.2563661841891488,0.4206275630759646,True,True,False
Fold 1,569,A,H,0.3957654328098014,0.2791526570768848,0.3250819101133137,A,0.3664893448330818,0.2632769540972864,0.3702337010696317,False,True,True
Fold 1,894,H,H,0.6122760471318598,0.2192153191694118,0.1685086336987284,H,0.5818357262609049,0.2163663489191735,0.2017979248199216,True,True,False
Fold 1,1253,A,A,0.2105990633716217,0.2293263976913689,0.5600745389370094,A,0.1990459304436165,0.2220962942777467,0.5788577752786367,True,True,False
Fold 1,1624,A,H,0.3839079999576528,0.2505013503268863,0.3655906497154608,H,0.375508406744495,0.2615114390280801,0.3629801542274249,False,False,False
Fold 1,895,D,A,0.3187574150299342,0.2613288039139351,0.4199137810561306,A,0.3064448346664405,0.2539041933422265,0.439650971991333,False,False,False
Fold 1,207,A,A,0.2827720002371351,0.3004132629532987,0.4168147368095661,A,0.2768294262494647,0.2803804621985026,0.4427901115520324,True,True,False
Fold 1,1254,A,A,0.2316937226678421,0.2410669862590053,0.5272392910731525,A,0.2443988358270285,0.2416555215248026,0.5139456426481689,True,True,False
Fold 1,1625,H,H,0.5295970002139675,0.2497878326737063,0.220615167112326,H,0.4944179903825802,0.257219472171794,0.2483625374456257,True,True,False
Fold 1,1255,H,H,0.6031194745444325,0.2441293240575049,0.1527512013980626,H,0.593334425271278,0.2359091582525279,0.1707564164761941,True,True,False
